epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,51.50534781188765,52.67492651861529,53.23930437622469,52.520161290322584,67.03629032258064,56.60282258064516
2,53.10867080339647,67.67839647289354,55.394758327890266,53.024193548387096,48.689516129032256,56.45161290322581
3,53.07193011103854,69.53073971260613,55.53151534944481,52.77217741935484,72.02620967741936,57.96370967741935
4,53.25053069888961,69.9277433050294,55.559070868713256,52.82258064516129,71.67338709677419,57.76209677419355
5,53.57303233180927,70.2624918354017,56.636797844546045,53.67943548387097,50.100806451612904,58.46774193548387
6,54.16190398432397,70.60540496407577,58.61467178314827,54.48588709677419,73.48790322580645,61.79435483870968
7,54.592586544742,71.26061397779229,59.47195460483344,54.6875,73.3366935483871,61.693548387096776
8,54.94672599608099,71.92398758981058,64.18701012410189,54.13306451612903,74.6975806451613,70.51411290322581
9,55.14063520574788,72.30262083605487,78.56588830829523,54.6875,73.48790322580645,83.1149193548387
10,54.83956564337035,73.32625734813847,83.451379817113,55.24193548387097,75.55443548387096,83.82056451612904
11,55.177375898105815,78.5546619856303,83.63508327890268,55.24193548387097,81.5524193548387,84.77822580645162
12,55.42945787067276,81.48881450032658,84.66688438928804,55.54435483870968,82.86290322580645,86.34072580645162
13,55.64684030045722,83.6116100587851,89.31968484650555,54.33467741935484,68.04435483870968,90.57459677419355
14,55.98465055519269,85.19962442847812,94.11536577400392,54.435483870967744,86.79435483870968,95.11088709677419
15,56.13773677335075,86.5661740692358,97.28322991508817,54.88911290322581,85.53427419354838,96.21975806451613
16,56.31837851077727,87.52857609405618,98.44668517308948,54.284274193548384,87.14717741935483,98.89112903225806
17,56.35103690398432,88.21338177661659,99.0416802743305,55.59475806451613,87.29838709677419,99.09274193548387
18,56.69395003265839,88.83899412148922,99.31417374265186,55.493951612903224,88.10483870967742,99.04233870967742
19,57.14606466361855,89.23803886348792,99.4356221423906,55.846774193548384,88.7600806451613,99.64717741935483
20,57.48387491835402,89.64933050293925,99.55911169170477,56.854838709677416,88.25604838709677,99.29435483870968
21,58.47995591116917,90.10042455911169,99.63667537557153,57.76209677419355,88.15524193548387,99.49596774193549
22,59.5046129980405,90.46681090790334,99.68566296538211,59.92943548387097,89.21370967741936,98.1350806451613
23,60.08736120182887,90.9250489875898,99.73260940561724,59.475806451612904,88.9616935483871,99.8991935483871
24,60.86299804049641,91.28531188765513,99.75200032658393,58.921370967741936,88.91129032258064,99.74798387096774
25,61.37022370999347,91.6527188112345,99.79384389288047,60.03024193548387,89.46572580645162,99.74798387096774
